xuhui,19,ab4c5760-28e4-4eb0-8c9e-272c223f60fc
jingan,18,9186bce3-b16f-44ff-ab66-f71af36082ee
pudong,17,a283cd2c-74d7-4331-bfc4-0bf75640ad5b
minhang,17,01e64f88-04fe-404f-b538-33de3971685a
jiading,16,a7cf828e-d770-40f0-8175-01f6dab6dddc
songjiang,16,67212dd9-4fca-47df-b4a7-7e8c9c71b56e
xuhui,20,ab4c5760-28e4-4eb0-8c9e-272c223f60fc
jingan,19,9186bce3-b16f-44ff-ab66-f71af36082ee
pudong,18,a283cd2c-74d7-4331-bfc4-0bf75640ad5b
minhang,18,01e64f88-04fe-404f-b538-33de3971685a
jiading,17,a7cf828e-d770-40f0-8175-01f6dab6dddc
songjiang,16,67212dd9-4fca-47df-b4a7-7e8c9c71b56e
xuhui,21,ab4c5760-28e4-4eb0-8c9e-272c223f60fc
jingan,20,9186bce3-b16f-44ff-ab66-f71af36082ee
pudong,19,a283cd2c-74d7-4331-bfc4-0bf75640ad5b
minhang,19,01e64f88-04fe-404f-b538-33de3971685a
jiading,18,a7cf828e-d770-40f0-8175-01f6dab6dddc
songjiang,18,67212dd9-4fca-47df-b4a7-7e8c9c71b56e
xuhui,22,ab4c5760-28e4-4eb0-8c9e-272c223f60fc
jingan,21,9186bce3-b16f-44ff-ab66-f71af36082ee
pudong,20,a283cd2c-74d7-4331-bfc4-0bf75640ad5b
minhang,20,01e64f88-04fe-404f-b538-33de3971685a
jiading,19,a7cf828e-d770-40f0-8175-01f6dab6dddc
songjiang,19,67212dd9-4fca-47df-b4a7-7e8c9c71b56e
xuhui,23,ab4c5760-28e4-4eb0-8c9e-272c223f60fc
jingan,21,9186bce3-b16f-44ff-ab66-f71af36082ee
pudong,20,a283cd2c-74d7-4331-bfc4-0bf75640ad5b
minhang,21,01e64f88-04fe-404f-b538-33de3971685a
jiading,19,a7cf828e-d770-40f0-8175-01f6dab6dddc
songjiang,20,67212dd9-4fca-47df-b4a7-7e8c9c71b56e
xuhui,21,ab4c5760-28e4-4eb0-8c9e-272c223f60fc
jingan,20,9186bce3-b16f-44ff-ab66-f71af36082ee
pudong,19,a283cd2c-74d7-4331-bfc4-0bf75640ad5b
minhang,20,01e64f88-04fe-404f-b538-33de3971685a
jiading,18,a7cf828e-d770-40f0-8175-01f6dab6dddc
songjiang,19,67212dd9-4fca-47df-b4a7-7e8c9c71b56e
xuhui,20,ab4c5760-28e4-4eb0-8c9e-272c223f60fc
jingan,19,9186bce3-b16f-44ff-ab66-f71af36082ee
pudong,18,a283cd2c-74d7-4331-bfc4-0bf75640ad5b
minhang,19,01e64f88-04fe-404f-b538-33de3971685a
jiading,17,a7cf828e-d770-40f0-8175-01f6dab6dddc
songjiang,18,67212dd9-4fca-47df-b4a7-7e8c9c71b56e
